listing_text,href_value
"['Live Help!', 'We are offline at the moment', 'Leave a message']","['https:', '', 'www.dotmed.com', 'users', 'my', 'chat', 'cs_external_offline.html?uid=193414']"
"['1.', 'GE Signa Excite 1.5T MRI Scanner Parts For Sale', 'Part Number: 5418908-2', 'Anterior 16 Channel Cardiac Array Coil', 'Quality tested part, Excellent PRICE,Worldwide quick delivery, Reliability,... view more', 'June 01  ', 'Rami Marom / MediRam Europe', 'phone: +33 0769874253', '(40)']","['https:', '', 'www.dotmed.com', 'listing', 'mri-scanner', 'ge', 'signa-excite-1.5t', '5418908-2', '4618498']"
"['2.', 'GE LightSpeed 16 CT Scanner Parts For Sale', 'Part Number: 5120580', 'TS_IMS_REAR Positioning GT', 'Quality tested part, Excellent PRICE,Worldwide quick delivery, Reliability,... view more', 'June 01  ', 'Rami Marom / MediRam Europe', 'phone: +33 0769874253', '(40)']","['https:', '', 'www.dotmed.com', 'listing', 'ct-scanner', 'ge', 'lightspeed-16', '5120580', '4618497']"
"['3.', 'GE Optima CT660, Revolution Evo CT Scanner Parts For Sale', 'Part Number: 5814953', 'Merc40 VCS board Fru', 'Quality tested part, Excellent PRICE,Worldwide quick delivery, Reliability,... view more', 'June 01  ', 'Rami Marom / MediRam Europe', 'phone: +33 0769874253', '(40)']","['https:', '', 'www.dotmed.com', 'listing', 'ct-scanner', 'ge', 'optima-ct660-revolutionevo', '5814953', '4618496']"
"['4.', 'GE BRIVO MR355 MRI Scanner Parts For Sale', 'Part Number: 46-281101P8', '46-281101P8 - Vent Adapter O-ring', 'Quality tested part, Excellent PRICE,Worldwide quick delivery, Reliability,... view more', 'June 01  ', 'Rami Marom / MediRam Europe', 'phone: +33 0769874253', '(40)']","['https:', '', 'www.dotmed.com', 'listing', 'mri-scanner', 'ge', 'brivo-mr355', '46-281101p8', '4618495']"
"['5.', 'GE LightSpeed VCT 64 CT Scanner Parts For Sale', 'Part Number: 5394794-42', 'AW VolumeShare 5 HP Z800 Workstation', 'Quality tested part, Excellent PRICE,Worldwide quick delivery, Reliability,... view more', 'June 01  ', 'Rami Marom / MediRam Europe', 'phone: +33 0769874253', '(40)']","['https:', '', 'www.dotmed.com', 'listing', 'ct-scanner', 'ge', 'lightspeed-vct-64', '5394794-42', '4618494']"
"['6.', 'GE Lightspeed Pro 16 CT Scanner Parts For Sale', 'Part Number: 5419719', 'DAS ON DETECTOR 16 (DOD16) CENTER MODULE KIT', 'Quality tested part, Excellent PRICE,Worldwide quick delivery, Reliability,... view more', 'May 31  ', 'Rami Marom / MediRam Europe', 'phone: +33 0769874253', '(40)']","['https:', '', 'www.dotmed.com', 'listing', 'ct-scanner', 'ge', 'lightspeed-pro-16', '5419719', '4617560']"
"['7.', 'GE Discovery IQ PET/CT Parts For Sale', 'Part Number: 5450948', 'Low Voltage Power Supply', 'Quality tested part, Excellent PRICE,Worldwide quick delivery, Reliability,... view more', 'May 31  ', 'Rami Marom / MediRam Europe', 'phone: +33 0769874253', '(40)']","['https:', '', 'www.dotmed.com', 'listing', 'pet-ct', 'ge', 'discovery-iq', '5450948', '4617559']"
"['8.', 'GE LightSpeed VCT 64 CT Scanner Parts For Sale', 'Part Number: 5139590-3', 'Left CT Control Panel', 'Quality tested part, Excellent PRICE,Worldwide quick delivery, Reliability,... view more', 'May 31  ', 'Rami Marom / MediRam Europe', 'phone: +33 0769874253', '(40)']","['https:', '', 'www.dotmed.com', 'listing', 'ct-scanner', 'ge', 'lightspeed-vct-64', '5139590-3', '4617558']"
"['9.', 'GE LightSpeed VCT 64 CT Scanner Parts For Sale', 'Part Number: 5330602', 'CT Front Cover CAN (Bus) Cable Harness', 'Quality tested part, Excellent PRICE,Worldwide quick delivery, Reliability,... view more', 'May 30  ', 'Rami Marom / MediRam Europe', 'phone: +33 0769874253', '(40)']","['https:', '', 'www.dotmed.com', 'listing', 'ct-scanner', 'ge', 'lightspeed-vct-64', '5330602', '4616239']"
"['10.', 'GE LightSpeed VCT 64 CT Scanner Parts For Sale', 'Part Number: 2271663', 'Cable from Display to Breathing Lights', 'Quality tested part, Excellent PRICE,Worldwide quick delivery, Reliability,... view more', 'May 30  ', 'Rami Marom / MediRam Europe', 'phone: +33 0769874253', '(40)']","['https:', '', 'www.dotmed.com', 'listing', 'ct-scanner', 'ge', 'lightspeed-vct-64', '2271663', '4616238']"
